last_name, first_name,player_id,year,p_formatted_ip,p_era,p_opp_batting_avg,
Cotton, Jharel,605194,2022,35.0,2.83,.185,
Crick, Kyle,605195,2022,15.2,4.02,.189,
Davies, Zach,605200,2022,116.2,4.09,.239,
Edwards Jr., Carl,605218,2022,53.0,2.89,.201,
Fulmer, Michael,605242,2022,56.0,3.21,.232,
Holmes, Clay,605280,2022,56.0,2.41,.193,
Houser, Adrian,605288,2022,91.2,4.61,.254,
Lopez, Jorge,605347,2022,62.2,2.30,.207,
Musgrove, Joe,605397,2022,159.0,3.28,.232,
Nola, Aaron,605400,2022,179.1,3.31,.224,
Rodriguez, Dereck,605446,2022,4.0,6.75,.250,
Romano, Jordan,605447,2022,55.1,1.95,.185,
Scott, Tayler,605463,2022,12.0,6.75,.358,
Snell, Blake,605483,2022,103.0,4.02,.238,
Springs, Jeffrey,605488,2022,109.2,2.54,.228,
Thompson, Zach,605507,2022,111.2,5.24,.284,
Warren, Art,605521,2022,36.0,6.50,.264,
Wendelken, J.B.,605525,2022,29.0,5.28,.234,
Wisler, Matt,605538,2022,44.0,2.25,.189,
Woodruff, Brandon,605540,2022,127.1,3.39,.222,
Castro, Harold,605612,2022,4.0,4.50,.400,
Perdomo, Luis,606131,2022,15.2,3.45,.262,
Gallegos, Giovanny,606149,2022,52.1,3.27,.209,
Montero, Rafael,606160,2022,58.2,2.45,.199,
Elias, Roenis,606273,2022,7.2,3.52,.233,
Payamps, Joel,606303,2022,54.0,2.83,.269,
Garcia, Jarlin,606424,2022,55.0,3.44,.239,
Moronta, Reyes,606625,2022,30.1,4.15,.198,
Barnes, Jacob,606930,2022,20.2,6.10,.269,
Devenski, Chris,606965,2022,10.2,7.59,.318,
Hager, Jake,606993,2022,2.1,7.71,.300,
Rodon, Carlos,607074,2022,162.2,2.93,.206,
Weems, Jordan,607179,2022,26.2,6.41,.248,
Fedde, Erick,607200,2022,110.0,5.24,.274,
Krehbiel, Joey,607216,2022,52.0,2.77,.223,
Gsellman, Robert,607229,2022,15.1,4.70,.279,
Garrett, Amir,607237,2022,39.0,5.08,.178,
Martinez, Nick,607259,2022,96.1,3.27,.243,
Patton, Spencer,607359,2022,7.0,3.86,.174,
Mazza, Chris,607391,2022,5.1,11.81,.333,
Banda, Anthony,607455,2022,26.2,6.75,.361,
Barraclough, Kyle,607457,2022,9.0,3.00,.219,
Bummer, Aaron,607481,2022,20.0,3.15,.273,
Freeland, Kyle,607536,2022,153.2,4.63,.275,
Howard, Sam,607572,2022,2.0,9.00,.286,
Ladwig, A.J.,607609,2022,3.1,10.80,.400,
Lugo, Seth,607625,2022,55.2,3.23,.237,
Means, John,607644,2022,8.0,3.38,.258,
Vasquez, Andrew,607755,2022,6.2,8.10,.231,
Estevez, Carlos,608032,2022,51.2,3.66,.220,
De Jong, Chase,608328,2022,60.1,2.39,.190,
Fried, Max,608331,2022,169.1,2.50,.226,
Giolito, Lucas,608337,2022,139.0,5.18,.283,
Irvin, Cole,608344,2022,159.1,3.73,.238,
Kelly, Carson,608348,2022,3.1,8.10,.471,
Knebel, Corey,608349,2022,44.2,3.43,.202,
Sims, Lucas,608371,2022,6.2,9.45,.217,
Wacha, Michael,608379,2022,107.0,2.69,.213,
Marquez, German,608566,2022,157.2,5.25,.266,
Chargois, JT,608638,2022,12.2,3.55,.217,
Duffey, Tyler,608648,2022,44.0,4.91,.268,
Farrell, Luke,608652,2022,14.0,3.86,.263,
Graveman, Kendall,608665,2022,57.2,2.81,.251,
Leone, Dominic,608678,2022,49.1,4.01,.281,
Steckenrider, Drew,608716,2022,14.1,5.65,.333,
Stratton, Chris,608717,2022,57.2,4.37,.292,
Suter, Brent,608718,2022,58.0,4.03,.245,
Voth, Austin,608723,2022,85.2,4.41,.272,
Castro, Miguel,612434,2022,27.0,4.00,.243,
Ruiz, Jose,614179,2022,53.2,4.19,.233,
Quantrill, Cal,615698,2022,157.0,3.50,.253,
Sawamura, Hirokazu,617228,2022,50.2,3.73,.238,
Schrock, Max,621011,2022,1.0,45.00,.700,
Cuas, Jose,621016,2022,34.0,3.44,.269,
